"Stock","Client Name","Client Category","Action*","Reported To/By Exchange","Quantity","Post Transaction Holding","Traded %","Avg. Price","Value","Period","Regulation (Insider/SAST)","Security Type","Mode"
"Magson Retail ","Manish Shivnarayan Pancholi","Promoter","Sale","2026-08-19","200000","161100","-","","-","13 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Arvind Port and Infra","Vinit Arvind Shah","Promoter","Acquisition","2026-08-19","7500","1473000","-","","-","12 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"DocMode Health ","Ramesh kumar jain","","Acquisition","2026-08-19","72000","260000","-","","-","14 Aug 2026  14 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Nikita Greentech Recycling","Antara Rakesh","Promoter","Acquisition","2026-08-19","37200","620690","-","","-","13 Aug 2026  13 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"IRIS Clothings","Stellar IR Advisors Private Limited","","Sale","2026-08-19","6396255","25541171","-","","-","29 Jul 2025  11 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Aakash Exploration ","Pravin Varshibhai  Haria","Promoter","Acquisition","2026-08-19","7277950","7277950","-","","-","10 Aug 2026  10 Aug 2026","SAST (Reg29(1))","Equity shares","Others"
"Ganga Forging","PINE OAK GLOBAL FUND","","Sale","2026-08-19","19239770","1534739","-","","-","07 Aug 2026  14 Aug 2026","SAST (Reg29(2))","Equity shares","Open Market"
"Aakash Exploration ","Krunal Pravin  Haria","Promoter","Sale","2026-08-19","7277950","0
                
                
                    (0%)","-","","-","10 Aug 2026  10 Aug 2026","SAST (Reg29(2))","Equity shares","Others"
"Macpower CNC ","Mr Mehta Reyan Rupeshbhai","Promoter","Acquisition","2026-08-19","475000","475000","-","","-","14 Aug 2026  14 Aug 2026","SAST (Reg29(1))","Equity shares","Inter-se transfer"
"Corona Remedies","Apurvsinh Kirtisinh Parmar","Designated Person","Acquisition","2026-08-19","50","100","0.00","2104.8","105,242","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Corona Remedies","Apurvsinh Kirtisinh Parmar","Designated Person","Acquisition","2026-08-19","50","50","0.00","2135.0","106,751","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Corona Remedies","Kirtisinh Manoharsinh Parmar","Immediate Relative","Acquisition","2026-08-19","50","296","0.00","2092.4","104,620","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Corona Remedies","Ranjanben Kirtisinh Parmar","Immediate Relative","Acquisition","2026-08-19","75","165","0.00","2089.7","156,730","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Corona Remedies","Apurvsinh Kirtisinh Parmar","Designated Person","Acquisition","2026-08-19","50","150","0.00","2064.5","103,227","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Corona Remedies","Ranjanben Kirtisinh Parmar","Immediate Relative","Acquisition","2026-08-19","90","90","0.00","2119.9","190,793","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Corona Remedies","Kirtisinh Manoharsinh Parmar","Immediate Relative","Acquisition","2026-08-19","50","106","0.00","2142.6","107,128","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Corona Remedies","Kirtisinh Manoharsinh Parmar","Immediate Relative","Acquisition","2026-08-19","50","156","0.00","2122.5","106,126","05 Aug 2026  06 Aug 2026","Insider Trading","Equity","Market Purchase"
"Bhartiya Intl","SAMIR BHOJWANI","Directors Immediate Relative","Acquisition","2026-08-19","1000","1000","0.01","846.8","846,805","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Bhartiya Intl","RAJ KUMAR CHAWLA","KMP","Acquisition","2026-08-19","500","1177","0.00","833.5","416,747","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Kapil Raj Finance","PUNITH D PUTHRAN","Director","Disposal","2026-08-19","8000000","0
                
                
                    (0%)","7.31","1.6","12,440,000","12 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"360 One Wam","Gaurav Doshi","Designated Person","Disposal","2026-08-19","2000","0
                
                
                    (0%)","0.00","1168.5","2,336,900","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"P G Foils","PIPALIA CABLES AND WIRES PRIVATE LIMITED","Promoter Group","Acquisition","2026-08-19","100000","1891999","0.85","196.3","19,628,000","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"NCL Industries","KALIDINDI RAVI","Promoter and Director","Acquisition","2026-08-19","2950","3262923","0.01","172.0","507,489","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"NCL Industries","NCL HOLDINGS (A&S) LTD","Promoter Group","Acquisition","2026-08-19","64311","374311","0.14","171.9","11,056,896","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"P G Foils","FOILS INDIA LAMINATES PRIVATE LIMITED","Promoter Group","Acquisition","2026-08-19","150000","1751639","1.27","195.7","29,347,500","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Abhinav Capital","Vinod Hardattrai Biyani","Promoter","Acquisition","2026-08-19","306521","356518","4.43","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"Abhinav Capital","Kailash Hardattrai Biyani","Promoter","Disposal","2026-08-19","955631","444869","13.80","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"V-Guard Industries","PRIYA SARAH CHEERAN JOSEPH","Other","Disposal","2026-08-19","418053","9475208","0.10","330.5","138,162,336","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"V-Guard Industries","DEEPAK AUGUSTINE","Employee","Disposal","2026-08-19","3000","184797","0.00","343.8","1,031,400","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"V-Guard Industries","DEEPAK AUGUSTINE","Employee","Disposal","2026-08-19","1000","187797","0.00","336.9","336,900","13 Aug 2026  13 Aug 2026","Insider Trading","Equity","Market Sale"
"Abhinav Capital","Bharat Hardattrai Biyani","Promoter Immediate Relative","Acquisition","2026-08-19","649110","649110","9.37","0","0","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Gift"
"Signet Industries","Mukesh Sangla","Promoter and Director","Acquisition","2026-08-19","20806","1204595","0.07","67.7","1,407,942","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Kilburn Engineering","Firstview Trading Private Limited","Promoter","Acquisition","2026-08-19","30000","16443600","0.06","358.2","10,745,388","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Kilburn Engineering","Vivaya Enterprises Private Limited","Promoter Group","Acquisition","2026-08-19","20000","1498235","0.04","363.7","7,273,558","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Dolfin Rubbers","RATINDER KAUR","Promoter","Acquisition","2026-08-19","6000","1150295","0.06","165.4","992,352","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Dolfin Rubbers","Kawaljit Singh","Promoter and Director","Acquisition","2026-08-19","13010","1638093","0.13","164.4","2,138,278","17 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Mach Travel Solutions","Diva Bhatia","Directors Immediate Relative","Acquisition","2026-08-19","7800","17400","0.04","177.4","1,384,074","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Avonmore Capital","INNOVATIVE MONEY MATTERS PRIVATE LIMITED","Promoter","Acquisition","2026-08-19","100000","94214900","0.04","13.3","1,333,405","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Obcl","OBCL INFRASTRUCTURE PRIVATE LIMITED","Promoter Group","Acquisition","2026-08-19","19181","2253942","0.09","54.0","1,035,518","14 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Vibhor Steel Tubes","VIJAY KUMAR KAUSHIK","Promoter and Director","Acquisition","2026-08-19","2000","4177400","0.01","106.8","213,642","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"South Paper Mills","SHISHIR PRAFUL PATEL","Promoter","Disposal","2026-08-19","72502","315294","0.39","105.5","7,645,336","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"South Paper Mills","MANISH MAHENDRA PATEL","Promoter and Director","Acquisition","2026-08-19","240170","742822","1.28","105.5","25,325,937","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"South Paper Mills","SHEILJA DIPAM PATEL","Promoter","Disposal","2026-08-19","72502","315294","0.39","105.5","7,645,336","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"South Paper Mills","APARNA RAMESH PATEL","Promoter","Disposal","2026-08-19","72503","315421","0.39","105.4","7,645,441","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
"South Paper Mills","PRIT RAMESHCHANDRA PATEL","Promoter","Disposal","2026-08-19","22663","365257","0.12","105.4","2,389,813","14 Aug 2026  14 Aug 2026","Insider Trading","Equity","Inter-se-Transfer"
