"Stock","Client Name","Client Category","Action*","Reported To/By Exchange","Quantity","Post Transaction Holding","Traded %","Avg. Price","Value","Period","Regulation (Insider/SAST)","Security Type","Mode"
"Monotype","Sandeep Ispat LLP","Promoter Group","Disposal","2026-08-20","2056201","17593498","0.29","0.3","662,303","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Sale"
"Rajesh Power Services","Utsav Nehal Panchal","Promoter and Director","Acquisition","2026-08-20","2000","1509800","0.01","811.2","1,622,443","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Turtlemint Fintech Solutions","Prajay Bhisikar","Designated Person","Disposal","2026-08-20","20500","70622","0.01","137.6","2,820,700","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Brijesh Merchant","Designated Person","Disposal","2026-08-20","55000","35000","0.02","146.7","8,068,750","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Sale"
"Turtlemint Fintech Solutions","Vijay Sanap","Designated Person","Disposal","2026-08-20","9000","6000","0.00","141.6","1,274,500","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Rajesh Power Services","ANJANABEN PRAFULBHAI PATEL","Promoter Group","Acquisition","2026-08-20","2000","77465","0.01","812.1","1,624,222","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Titagarh Rail Systems","Dinesh Arya","Designated Person","Disposal","2026-08-20","20000","20000","0.01","821.0","16,419,000","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Gift"
"Liberty Shoes","Anupam Bansal","Promoter","Acquisition","2026-08-20","15004","660942","0.09","244.8","3,672,797","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Astral","Mr. Aditya Shroff","Immediate Relative","Disposal","2026-08-20","4500","46800","0.00","1541.0","6,934,656","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Sale"
"Senco Gold","Jai Hanuman Shri Siddhivinayak Trust (Trustee- Mr. Suvankar Sen & Mrs. Joita Sen)","Promoter","Acquisition","2026-08-20","3250","67985756","0.00","336.9","1,094,828","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"U Y Fincorp","Dipti Deepak Kothari","Promoter Group","Acquisition","2026-08-20","50000","3775125","0.03","20.7","1,036,722","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"DMR Engineering","DIVAY MITTAL","Promoter","Acquisition","2026-08-20","15600","449865","0.15","27.1","422,273","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Coffee Day Enterprises","Malavika Hegde","Promoter Group","Revoke","2026-08-20","18745","1556147","0.01","29.6","555,602","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","None"
"U Y Fincorp","Dipti Deepak Kothari","Promoter Group","Acquisition","2026-08-20","36123","3725125","0.02","21.3","768,438","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
"Coffee Day Enterprises","Coffee Day Consolidations Private Limited","Promoter Group","Revoke","2026-08-20","47293","5502116","0.02","29.6","1,401,765","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","None"
"W S Industries","S. Anandavadivel","Promoter and Director","Acquisition","2026-08-20","10027","4649324","0.01","60.6","607,986","17 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"W S Industries","Mamatha P","Promoter Group","Acquisition","2026-08-20","20000","1011298","0.03","60.8","1,215,589","18 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"U Y Fincorp","Dipti Deepak Kothari","Promoter Group","Acquisition","2026-08-20","150000","3925125","0.08","21.0","3,155,173","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"eClerx Services","Eclerx Employee Welfare","Trust","Acquisition","2026-08-20","12851","2115522","0.01","1846.0","23,722,841","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Fusion Klassroom Edutech","ALKA NIKHIL JEVERI","Promoter and Director","Acquisition","2026-08-20","800","1909552","0.01","169","135,200","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Fusion Klassroom Edutech","DHUMIL NIKHIL JAVERI","Promoter and Director","Acquisition","2026-08-20","1600","877000","0.02","166.9","267,080","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Fusion Klassroom Edutech","DHRUV NIKHIL JAVERI","Promoter and Director","Acquisition","2026-08-20","1600","877000","0.02","167","267,200","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Siyaram Silk Mills","Harshit S Poddar","Promoter","Disposal","2026-08-20","582900","51","1.28","619.1","360,885,105","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Block Deal"
"Three M Paper Boards","RUSHABH HITENDRA SHAH","Promoter and Director","Acquisition","2026-08-20","2000","1473000","0.01","24.2","48,400","20 Aug 2026  20 Aug 2026","Insider Trading","Equity","Market Purchase"
"Fusion Klassroom Edutech","ALKA NIKHIL JAVERI","Promoter and Director","Acquisition","2026-08-20","1600","1908752","0.02","169.9","271,880","18 Aug 2026  18 Aug 2026","Insider Trading","Equity","Market Purchase"
"Siyaram Silk Mills","DPP Enterprises LLP","Promoter Group","Acquisition","2026-08-20","582900","1228308","1.28","621.0","361,957,961","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Block Deal"
"Signet Industries","Mukesh Sangla","Promoter and Director","Acquisition","2026-08-20","32187","1236782","0.11","69.6","2,241,595","19 Aug 2026  19 Aug 2026","Insider Trading","Equity","Market Purchase"
"Wipro","RAMARATHNAM DANDAPANI","Designated Person","Disposal","2026-08-20","12089","0
                
                
                    (0%)","0.00","184.6","2,232,113","18 Aug 2026  18 Aug 2026","Insider Trading","Any other instrument","Market Sale"
"Trident Texofab","HARDIK DESAI FAMILY TRUST","Promoter Group","Acquisition","2026-08-20","39425","1018691","0.26","22.9","903,790","17 Aug 2026  17 Aug 2026","Insider Trading","Equity","Market Purchase"
