Symbol,ISIN,Company Name,Board,Delisted Date,Type of Delisting
HIGHGROUND,INE361M01021,High Ground Enterprise Limited,Main Board,27-Aug-21,Compulsory Delisting 
SITASHREE,INE686I01011,Sita Shree Food Products Limited,Main Board,27-Aug-21,Compulsory Delisting 
SHLAKSHMI,INE851B01016,Shri Lakshmi Cotsyn Limited,Main Board,27-Aug-21,Delisting - Liquidation
SRSLTD,INE219H01039,SRS Limited,Main Board,27-Aug-21,Delisting - Liquidation
HINDSYNTEX,INE155B01012,Hind Syntex Limited,Main Board,03-Sep-21,Compulsory Delisting 
JVLAGRO,INE430G01026,JVL Agro Industries Limited,Main Board,03-Sep-21,Delisting - Liquidation
GUJNRECOKE,INE110D01013,Gujarat NRE Coke Limited,Main Board,24-Sep-21,Delisting - Liquidation
GUJNREDVR,IN9110D01011,Gujarat NRE Coke Limited,Main Board,24-Sep-21,Delisting - Liquidation
AMTEKAUTO,INE130C01021,Amtek Auto Limited,Main Board,27-Sep-21,Voluntary Delisting 
ZODJRDMKJ,INE077B01018,Zodiac JRD- MKJ Limited,Main Board,28-Sep-21,Voluntary Delisting 
DHFL,INE202B01012,Dewan Housing Finance Corporation Limited,Main Board,29-Sep-21,Voluntary Delisting 
SIMPLEX,INE898F01018,Simplex Projects Limited,Main Board,26-Nov-21,Compulsory Delisting 
CKPPRODUCT,INE977V01017,CKP Products Limited?,SME,26-Nov-21,Compulsory Delisting 
CASTEXTECH,INE068D01021,Castex Technologies Limited,Main Board,07-Dec-21,Voluntary Delisting 
MMNL,INE702S01015,MIG Media Neurons Limited,ITP,21-Dec-21,Exit from ITP platform
SYNCOM ,"INE602K01014	",Syncom Healthcare Limited,Main Board,14-Jan-22,Voluntary Delisting 
SMPL,INE215G01021,Splendid Metal Products Limited,Main Board,14-Jan-22,Voluntary Delisting 
PATSPINLTD,INE790C01014,Patspin India Limited,Main Board,19-Jan-22,Voluntary Delisting 
GTNTEX,INE302H01017,GTN Textiles Limited,Main Board,19-Jan-22,Voluntary Delisting 
ARIHANT,INE413D01011,Arihant Foundations & Housing Limited,Main Board,11-Feb-22,Voluntary Delisting 
KWALITY,INE775B01025,Kwality Limited,Main Board,28-Feb-22,Voluntary Delisting 
PRADIP,INE495J01015,Pradip Overseas Limited,Main Board,16-Mar-22,Voluntary Delisting 
PUSHPREALM,INE728W01012,Pushpanjali Realms and Infratech Limited,SME,23-Mar-22,Compulsory Delisting 
STINDIA,INE090C01019,STI India Limited,Main Board,23-Mar-22,Compulsory Delisting 
VIMALOIL,INE067D01015,Vimal Oil & Foods Ltd,Main Board,23-Mar-22,Delisting - Liquidation
PAEL,INE766A01018,PAE Limited,Main Board,18-Apr-22,Voluntary Delisting 
ROHITFERRO,INE248H01012,Rohit Ferro-Tech Limited,Main Board,04-May-22,Voluntary Delisting 
CHROMATIC,INE662C01015,Chromatic India Limited,Main Board,18-Jul-22,Compulsory Delisting 
PBAINFRA,INE160H01019,PBA Infrastructure Limited,Main Board,01-Sep-22,Voluntary Delisting 
RAMSARUP,INE005D01015,Ramsarup Industries Limited ,Main Board,29-Sep-22,Voluntary Delisting 
ANSALHSG,INE880B01015,Ansal Housing Limited,Main Board,19-Oct-22,Voluntary Delisting 
TCIDEVELOP,INE662L01016,TCI Developers Limited,Main Board,18-Nov-22,Voluntary Delisting 
UTTAMSTL,INE699A01011,Uttam Galva Steels Limited,Main Board,08-Dec-22,Voluntary Delisting 
AUSTRAL,INE455J01027,Austral Coke & Projects Limited,Main Board,15-Dec-22,Compulsory Delisting 
BHAGYAPROP,INE363W01018,Bhagyanagar Properties Limited ,Main Board,19-Dec-22,Voluntary Delisting 
SUBCAPCITY,INE845C01016,International Constructions Limited,Main Board,12-Jan-23,Voluntary Delisting 
COX&KINGS,INE008I01026,Cox & Kings Limited,Main Board,23-Feb-23,Delisting - Liquidation
STERLINBIO,INE324C01038,Sterling Biotech Limited,Main Board,03-Mar-23,Voluntary Delisting 
SINTEX,INE429C01035,Sintex Industries Limited,Main Board,10-Mar-23,Voluntary Delisting 
CKPLEISURE,INE418Y01016,CKP Leisure Limited,SME,22-Mar-23,Compulsory Delisting 
POWERFUL,INE650Z01011,Powerful Technologies Limited,SME,22-Mar-23,Compulsory Delisting 
DFMFOODS,INE456C01020,DFM Foods Limited,Main Board,05-Apr-23,Voluntary Delisting 
PSL,INE474B01017,PSL Limited,Main Board,21-Apr-23,Delisting - Liquidation
EMCO,INE078A01026,Emco Limited ,Main Board,28-Apr-23,Delisting - Liquidation
AUTORIDFIN,INE450A01019,Autoriders Finance Limited,Main Board,23-May-23,Compulsory Delisting 
NATNLSTEEL,INE088B01015,National Steel And Agro Industries Limited,Main Board,27-Jun-23,Voluntary Delisting 
MRO,INE330R01017,M.R. Organisation Limited,ITP,08-Aug-23,Exit from ITP platform
OISL,INE196J01019,OCL Iron and Steel Limited,Main Board,18-Aug-23,Voluntary Delisting 
AUTOLITIND ,INE448A01013,Autolite (India) Limited,Main Board,29-Aug-23,Compulsory Delisting 
VIRESCENT,INE0GYU23027 *,Virescent Renewable Energy Trust,Main Board,07-Sep-23,Voluntary Delisting 
THIRUSUGAR,INE409A01015,Thiru Arooran Sugars Limited,Main Board,20-Nov-23,Voluntary Delisting 
SREINFRA,INE872A01014,SREI Infrastructure Finance Limited,Main Board,14-Dec-23,Voluntary Delisting
SREIBNPNCD,INE881J07DQ3,Srei Equipment Finance Limited,Main Board,14-Dec-23,Voluntary Delisting
JMTAUTOLTD,INE988E01036,JMT Auto Limited,Main Board,18-Dec-23,Voluntary Delisting
SHARONBIO,INE028B01029,Sharon Bio-Medicine Limited,Main Board,20-Feb-24,Voluntary Delisting
MOHOTAIND,INE313D01013,Mohota Industries Limited,Main Board,28-Mar-24,Voluntary Delisting
SONISOYA,INE301Z01011,Soni Soya Products Limited ,SME,05-Jul-24,Compulsory Delisting 
LGBFORGE,INE201J01017,LGB Forge Limited,Main Board,06-Aug-24,Voluntary Delisting
BIRLATYRE,INE0AEJ01013,Birla Tyres Limited,Main Board,08-Aug-24,Voluntary Delisting
SBIHOMEFIN,INE627A01012,SBI Home Finance Limited,Main Board ,12-Aug-24,Operation of Law
CELESTIAL,INE221I01017,Celestial Biolabs Limited ,Main Board,17-Oct-24,Compulsory Delisting 
JIKIND,INE026B01049,JIK Industries Limited,Main Board,17-Oct-24,Compulsory Delisting 
JINDCOT,INE904J01016,Jindal Cotex Limited,Main Board,11-Nov-24,Compulsory Delisting 
RELCAPITAL,INE013A01015,Reliance Capital Limited,Main Board,13-Feb-25,Voluntary Delisting
JPINFRATEC,INE099J01015,Jaypee Infratech Limited,Main Board,21-Feb-25,Voluntary Delisting
MVL,INE744I01034,MVL Limited,Main Board,28-Feb-25,Compulsory Delisting 
METALFORGE,INE425A01011,Metalyst Forgings Limited,Main Board,26-Mar-25,Voluntary Delisting
SPTL,INE501W01021,Sintex Plastics Technology Limited,Main Board,21-May-25,Voluntary Delisting
SATHAISPAT,INE176C01016,Sathavahana Ispat Limited ,Main Board,01-Jul-25,Voluntary Delisting
OCCL,INE321D01016,Oriental Carbon & Chemicals Limited,Main Board,15-Jul-25,Voluntary Delisting
SSINFRA,INE182Z01015,S.S. Infrastructure Development Consultants Limited,SME,25-Jul-25,Compulsory Delisting 
PENTAGOLD,INE175Y01012,Penta Gold Limited,SME,25-Jul-25,Compulsory Delisting 
MANPASAND,INE122R01018,Manpasand Beverages Limited,Main Board,05-Aug-25,Compulsory Delisting 
HINDNATGLS,INE952A01022,Hindusthan National Glass & Industries Limited,Main Board,22-Sep-25,Voluntary Delisting
HINDMOTORS,INE253A01025,Hindustan Motors Limited,Main Board,10-Oct-25,Voluntary Delisting
BHALCHANDR,INE992S01012,Bhalchandram Clothing Limited,ITP,03-Nov-25,Exit from ITP platform
HERCULES,INE688E01024,Hercules Investments Limited,Main Board,09-Jan-26,Voluntary Delisting
ROLTA,INE293A01013,Rolta India Limited,Main Board,19-Jan-26,Voluntary Delisting
FEDDERELEC,INE249C01011,Fedders Electric and Engineering Limited,Main Board,02-Mar-26,Voluntary Delisting
FSC,INE935Q01015,Future Supply Chain Solutions Limited,Main Board,24-Mar-26,Voluntary Delisting
VISESHINFO,INE861A01058,Visesh Infotecnics Limited,Main Board,06-Apr-26,Compulsory Delisting 
CLOUD,INE0JOO01021,Varanium Cloud Limited,SME,22-Apr-26,Compulsory Delisting 
JPASSOCIAT,INE455F01025,Jaiprakash Associates Limited,Main Board,18-Jun-26,Voluntary Delisting
